Day,Status,🏋🏼‍♂️Gym,💤 8hrs Sleep,📚 Lecture,🖧 Coding,🗺️ English
1st,1,No,Yes,No,No,No
2nd,4,No,Yes,Yes,Yes,Yes
3rd,1,No,Yes,No,No,No
4th,4,Yes,Yes,Yes,Yes,No
5th,3,No,Yes,Yes,Yes,No
6th,2,No,Yes,No,Yes,No
7th,3,Yes,Yes,No,Yes,No
8th,2,No,Yes,No,Yes,No
9th,4,No,Yes,Yes,Yes,Yes
10th,4,No,Yes,Yes,Yes,Yes
11th,4,No,Yes,Yes,Yes,Yes
12th,3,No,Yes,No,Yes,Yes
13th,5,Yes,Yes,Yes,Yes,Yes
14th,3,No,Yes,No,Yes,Yes
15th,4,No,Yes,Yes,Yes,Yes
16th,3,No,Yes,No,Yes,Yes
17th,5,Yes,Yes,Yes,Yes,Yes
18th,2,No,Yes,No,Yes,No
19th,2,No,Yes,No,Yes,No
20th,2,No,Yes,No,Yes,No
21st,2,No,Yes,No,Yes,No
22nd,2,No,Yes,No,Yes,No
23rd,3,No,Yes,No,Yes,Yes
24th,5,Yes,Yes,Yes,Yes,Yes
25th,5,Yes,Yes,Yes,Yes,Yes
26th,3,Yes,Yes,No,Yes,No
27th,3,Yes,Yes,No,Yes,No
28th,2,No,Yes,No,Yes,No
29th,2,No,Yes,No,Yes,No
30th,3,Yes,Yes,No,Yes,No
31st,3,Yes,Yes,No,Yes,No
